2026/03/06 13:39:24 [DESKTOP-JFVG6LS/WkYXzEyZw5-000001] "GET http://localhost:8080/healthz HTTP/1.1" from [::1]:51165 - 200 1B in 0s
2026/03/06 13:41:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000002] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:51195 - 200 754B in 1.1939ms
2026/03/06 13:41:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000003] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:51195 - 200 754B in 0s
2026/03/06 13:41:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000004] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:51195 - 200 754B in 0s
2026/03/06 13:41:55 [DESKTOP-JFVG6LS/WkYXzEyZw5-000005] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51195 - 200 1262B in 0s
2026/03/06 13:41:55 [DESKTOP-JFVG6LS/WkYXzEyZw5-000006] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51195 - 200 1262B in 0s
2026/03/06 13:41:55 [DESKTOP-JFVG6LS/WkYXzEyZw5-000007] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51195 - 200 1262B in 0s
2026/03/06 17:09:24 [DESKTOP-JFVG6LS/WkYXzEyZw5-000008] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58084 - 200 1262B in 551.1µs
2026/03/06 17:09:24 [DESKTOP-JFVG6LS/WkYXzEyZw5-000009] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58085 - 200 1262B in 0s
2026/03/06 17:14:01 [DESKTOP-JFVG6LS/WkYXzEyZw5-000010] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58085 - 200 1262B in 0s
2026/03/06 17:14:01 [DESKTOP-JFVG6LS/WkYXzEyZw5-000011] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58084 - 200 1262B in 0s
